"","Organization","Commitment","Score"
"1","ACT alliance","Comm.1",3
"2","ACT alliance","Comm.2",3
"3","ACT alliance","Comm.3",2.5
"4","ACT alliance","Comm.4",2.5
"5","ACT alliance","Comm.5",2
"6","ACT alliance","Comm.6",3.5
"7","ACT alliance","Comm.7",3
"8","ACT alliance","Comm.8",3
"9","ACT alliance","Comm.9",2
"10","Adra DK","Comm.1",2.6
"11","Adra DK","Comm.2",2.1
"12","Adra DK","Comm.3",2.3
"13","Adra DK","Comm.4",2.5
"14","Adra DK","Comm.5",0
"15","Adra DK","Comm.6",3
"16","Adra DK","Comm.7",2
"17","Adra DK","Comm.8",3
"18","Adra DK","Comm.9",2.5
"19","Average","Comm.1",2.79
"20","Average","Comm.2",2.55
"21","Average","Comm.3",2.54
"22","Average","Comm.4",2.49
"23","Average","Comm.5",1.84
"24","Average","Comm.6",3.25
"25","Average","Comm.7",2.55
"26","Average","Comm.8",2.83
"27","Average","Comm.9",2.54
"28","Cafod","Comm.1",2.5
"29","Cafod","Comm.2",2.5
"30","Cafod","Comm.3",2.4
"31","Cafod","Comm.4",2
"32","Cafod","Comm.5",1
"33","Cafod","Comm.6",3
"34","Cafod","Comm.7",2
"35","Cafod","Comm.8",3
"36","Cafod","Comm.9",2.5
"37","Church of Sweden","Comm.1",3
"38","Church of Sweden","Comm.2",2.7
"39","Church of Sweden","Comm.3",2.8
"40","Church of Sweden","Comm.4",2
"41","Church of Sweden","Comm.5",2.1
"42","Church of Sweden","Comm.6",3.5
"43","Church of Sweden","Comm.7",3
"44","Church of Sweden","Comm.8",2.5
"45","Church of Sweden","Comm.9",3.3
"46","Concern Worldwide","Comm.1",3.1
"47","Concern Worldwide","Comm.2",2.8
"48","Concern Worldwide","Comm.3",2.6
"49","Concern Worldwide","Comm.4",2.6
"50","Concern Worldwide","Comm.5",2.3
"51","Concern Worldwide","Comm.6",3
"52","Concern Worldwide","Comm.7",2.8
"53","Concern Worldwide","Comm.8",2.9
"54","Concern Worldwide","Comm.9",2.7
"55","Danish Church Aid","Comm.1",3
"56","Danish Church Aid","Comm.2",2.9
"57","Danish Church Aid","Comm.3",2.6
"58","Danish Church Aid","Comm.4",2.9
"59","Danish Church Aid","Comm.5",1.7
"60","Danish Church Aid","Comm.6",3.5
"61","Danish Church Aid","Comm.7",2.8
"62","Danish Church Aid","Comm.8",2.8
"63","Danish Church Aid","Comm.9",2.8
"64","DRC","Comm.1",3
"65","DRC","Comm.2",2.5
"66","DRC","Comm.3",2.7
"67","DRC","Comm.4",2.2
"68","DRC","Comm.5",2
"69","DRC","Comm.6",3
"70","DRC","Comm.7",2.7
"71","DRC","Comm.8",2.9
"72","DRC","Comm.9",2.5
"73","Finn Church Aid","Comm.1",2.1
"74","Finn Church Aid","Comm.2",2.2
"75","Finn Church Aid","Comm.3",2.2
"76","Finn Church Aid","Comm.4",2.7
"77","Finn Church Aid","Comm.5",1.6
"78","Finn Church Aid","Comm.6",2.6
"79","Finn Church Aid","Comm.7",1.8
"80","Finn Church Aid","Comm.8",2.1
"81","Finn Church Aid","Comm.9",2.33
"82","Islamic Relief Wordwide","Comm.1",3
"83","Islamic Relief Wordwide","Comm.2",3
"84","Islamic Relief Wordwide","Comm.3",3
"85","Islamic Relief Wordwide","Comm.4",2.5
"86","Islamic Relief Wordwide","Comm.5",2.2
"87","Islamic Relief Wordwide","Comm.6",3
"88","Islamic Relief Wordwide","Comm.7",2.5
"89","Islamic Relief Wordwide","Comm.8",2.6
"90","Islamic Relief Wordwide","Comm.9",3
"91","Mission East","Comm.1",2.9
"92","Mission East","Comm.2",2.4
"93","Mission East","Comm.3",2.3
"94","Mission East","Comm.4",2
"95","Mission East","Comm.5",2.3
"96","Mission East","Comm.6",2.8
"97","Mission East","Comm.7",2.5
"98","Mission East","Comm.8",2.8
"99","Mission East","Comm.9",2.3
"100","Naba'a","Comm.1",3
"101","Naba'a","Comm.2",3
"102","Naba'a","Comm.3",3
"103","Naba'a","Comm.4",3
"104","Naba'a","Comm.5",3
"105","Naba'a","Comm.6",4
"106","Naba'a","Comm.7",3
"107","Naba'a","Comm.8",3
"108","Naba'a","Comm.9",3
"109","Norwegian Church Aid","Comm.1",2.5
"110","Norwegian Church Aid","Comm.2",2.4
"111","Norwegian Church Aid","Comm.3",2
"112","Norwegian Church Aid","Comm.4",2.3
"113","Norwegian Church Aid","Comm.5",1.6
"114","Norwegian Church Aid","Comm.6",3.5
"115","Norwegian Church Aid","Comm.7",3
"116","Norwegian Church Aid","Comm.8",2.9
"117","Norwegian Church Aid","Comm.9",2.3
"118","Plan Int DE","Comm.1",2.5
"119","Plan Int DE","Comm.2",2
"120","Plan Int DE","Comm.3",2.4
"121","Plan Int DE","Comm.4",2.5
"122","Plan Int DE","Comm.5",1.7
"123","Plan Int DE","Comm.6",3.2
"124","Plan Int DE","Comm.7",2
"125","Plan Int DE","Comm.8",2.85
"126","Plan Int DE","Comm.9",2.4
"127","SCI","Comm.1",2.6
"128","SCI","Comm.2",2.7
"129","SCI","Comm.3",2.25
"130","SCI","Comm.4",2.7
"131","SCI","Comm.5",2.15
"132","SCI","Comm.6",3.2
"133","SCI","Comm.7",2.2
"134","SCI","Comm.8",3.1
"135","SCI","Comm.9",2.5
"136","Tearfund","Comm.1",3
"137","Tearfund","Comm.2",2
"138","Tearfund","Comm.3",3
"139","Tearfund","Comm.4",3
"140","Tearfund","Comm.5",2
"141","Tearfund","Comm.6",4
"142","Tearfund","Comm.7",3
"143","Tearfund","Comm.8",3
"144","Tearfund","Comm.9",2
